year,week,class,name,overall score,music effect,visual effect,music,visual
2015,6,PIA,Aftermath,76.5,30.0,31.1,15.4,-0.25
2015,8,PIA,Aftermath,77.8,30.6,31.5,15.7,0.0
2015,1,PIA,Cornerstone Percussion,67.7,26.2,28.1,13.4,0.0
2015,4,PIA,Cornerstone Percussion,71.7,28.6,28.8,14.3,0.0
2015,8,PIA,Cornerstone Percussion,79.15,34.0,28.95,16.2,0.0
2015,2,PIA,East Coast Percussion,65.45,28.2,24.85,12.4,-1.9
2015,5,PIA,East Coast Percussion,74.575,28.8,31.075,14.7,0.0
2015,4,PIA,Gold Coast Independent,67.1,26.4,28.2,12.5,-0.75
2015,6,PIA,Gold Coast Independent,67.75,25.6,28.45,13.7,-5.7
2015,8,PIA,Gold Coast Independent,73.3,32.0,27.5,13.8,-0.05
2015,4,PIA,Pasadena City College,71.725,29.6,28.625,13.5,-2.8
2015,8,PIA,Pasadena City College,83.0,35.1,31.1,16.8,-0.8
