year,week,class,name,overall score,music effect,visual effect,music,visual
2026,7,PIO,BKO,76.0,22.2,15.5,23.7,14.6
2026,4,PIO,Bakersfield College,83.3,25.2,16.3,25.1,16.7
2026,7,PIO,Bakersfield College,86.65,25.65,18.05,25.2,17.75
2026,8,PIO,Borderline Percussion,76.4,22.5,14.3,23.0,16.6
2026,5,PIO,Breakthrough Indoor Percussion,80.8,24.0,15.8,25.1,15.9
2026,7,PIO,Breakthrough Indoor Percussion,81.55,24.0,17.1,23.25,17.2
2026,5,PIO,Buckhorn Percussion,82.0,24.9,14.8,25.6,16.7
2026,2,PIO,Cap City 2,80.15,23.25,15.4,24.7,16.8
2026,5,PIO,Cap City 2,83.2,25.2,17.1,23.8,17.1
2026,7,PIO,Cap City 2,89.45,26.55,17.9,26.9,18.1
2026,8,PIO,Cap City 2,89.05,27.15,18.3,27.3,16.3
2026,9,PIO,Cap City 2,93.05,27.75,19.1,27.5,18.7
2026,5,PIO,Charles Towne Percussion,74.55,22.35,15.0,22.5,14.7
2026,5,PIO,Convergence Indoor Percussion,75.575,22.575,14.4,24.2,14.4
2026,6,PIO,Dakota Combined Schools,80.05,24.75,16.8,22.7,15.8
2026,7,PIO,Dakota High School,82.45,24.75,16.9,23.5,17.3
2026,7,PIO,Desert Vox,82.05,24.45,16.5,24.05,17.05
2026,3,PIO,EPIC Indoor Percussion,69.9,21.3,13.4,21.2,14.0
2026,6,PIO,EPIC Indoor Percussion,75.3,22.8,15.3,21.8,15.4
2026,7,PIO,Freedom Percussion,83.975,24.975,16.55,25.75,16.7
2026,4,PIO,Frontier Percussion,73.7,21.6,15.5,21.3,15.3
2026,8,PIO,Frontier Percussion,80.55,23.85,16.1,24.1,16.5
2026,6,PIO,Gold Spike Percussion,82.55,25.95,16.4,24.6,15.6
2026,6,PIO,Grandville Independent,76.85,22.95,15.8,23.3,14.8
2026,7,PIO,Heartland Indoor Percussion,72.7,21.9,14.5,21.8,14.5
2026,4,PIO,Huron Valley Percussion,75.1,23.7,14.4,21.7,15.3
2026,6,PIO,Huron Valley Percussion,79.05,24.15,16.7,23.0,15.2
2026,7,PIO,Huron Valley Percussion,81.9,24.3,16.8,23.8,17.0
2026,5,PIO,Imperial Dynasty,77.7,22.8,14.9,25.0,15.0
2026,6,PIO,Imperial Dynasty,83.9,25.5,16.9,24.6,16.9
2026,8,PIO,Imperial Dynasty,87.5,25.8,17.5,26.9,17.3
2026,4,PIO,Infinity 3,78.4,23.25,15.8,23.15,16.2
2026,8,PIO,Infinity 3,85.925,25.65,17.0,26.0,17.275
2026,1,PIO,Kaizen,75.3,23.7,15.4,21.7,14.5
2026,5,PIO,Kaizen,84.7,25.5,17.3,25.2,16.7
2026,4,PIO,Kaizen Percussion,83.05,25.65,16.3,24.7,16.4
2026,3,PIO,Lotus,72.1,21.6,14.8,21.6,14.1
2026,6,PIO,Lotus,79.15,23.55,15.7,24.8,15.1
2026,8,PIO,Lotus,79.4,23.85,15.6,24.85,15.1
2026,2,PIO,Matrix Open,76.7,22.5,15.0,23.3,15.9
2026,7,PIO,Matrix Open,85.675,25.125,17.15,26.1,17.3
2026,8,PIO,Matrix Open,86.05,25.95,17.6,25.9,16.6
2026,9,PIO,Matrix Open,88.7,26.4,18.4,26.3,17.6
2026,4,PIO,Motor City Percussion,77.25,23.55,15.3,22.6,15.8
2026,6,PIO,Motor City Percussion,83.55,25.65,16.6,24.3,17.0
2026,7,PIO,OCI,83.85,24.975,17.3,23.875,17.7
2026,6,PIO,Old Line Independent Percussion,80.15,24.15,16.2,23.3,16.5
2026,8,PIO,Old Line Independent Percussion,87.0,25.5,17.0,27.4,17.1
2026,2,PIO,Orange County Independent,72.9,22.8,14.2,22.2,13.7
2026,5,PIO,Orange County Independent,80.2,24.9,16.9,23.0,15.4
2026,8,PIO,Paradigm Percussion,85.825,25.575,16.85,25.8,17.6
2026,8,PIO,Q2,89.425,27.3,17.95,26.325,17.85
2026,5,PIO,Revelation Open,78.275,22.425,16.15,24.25,15.45
2026,6,PIO,Rift Percussion,78.95,25.05,15.1,24.1,14.7
2026,8,PIO,Rock Ridge HS Combined,80.75,24.15,15.6,24.9,16.1
2026,7,PIO,Sac State Indoor,80.95,24.75,15.35,24.5,16.35
2026,4,PIO,Siege Percussion,78.375,22.125,16.2,23.75,16.3
2026,7,PIO,Sparta Indoor Percussion,87.45,26.1,17.4,26.5,17.45
2026,8,PIO,Spectre Percussion,88.7,26.4,18.2,25.9,18.2
2026,8,PIO,Sun City Independent,85.85,25.8,17.35,25.75,16.95
2026,8,PIO,Synergy,84.825,25.575,16.75,25.35,17.15
2026,2,PIO,Terrebonne Parish,63.35,18.8,19.35,12.3,12.9
2026,7,PIO,Tri-City Percussion,78.1,23.4,15.8,23.8,15.1
2026,8,PIO,UTSA,89.8,26.4,18.65,26.95,17.8
2026,6,PIO,United Percussion 2,81.7,24.3,16.6,24.2,16.6
2026,8,PIO,United Percussion 2,84.4,25.5,17.0,25.3,16.6
2026,4,PIO,Veritas,82.75,25.35,16.6,24.2,16.6
2026,7,PIO,Veritas,90.55,27.15,18.1,27.2,18.1
2026,8,PIO,Veritas,88.7,27.0,17.4,26.45,17.85
2026,9,PIO,Veritas,90.375,27.525,18.35,26.9,17.6
2026,5,PIO,Vision Percussion,76.825,22.125,15.1,24.3,15.3
2026,7,PIO,Vision Percussion,79.275,23.925,16.3,22.75,16.3
