year,week,class,name,overall score,music effect,visual effect,music,visual
2016,2,PIW,Broken City,85.9,25.8,17.0,25.9,17.2
2016,4,PIW,Broken City,84.7,25.5,17.2,25.4,16.6
2016,5,PIW,Broken City,86.45,26.55,16.9,26.2,16.8
2016,8,PIW,Broken City,91.5,27.6,17.9,27.4,18.6
2016,9,PIW,Broken City,92.35,27.75,18.25,27.4,18.95
2016,10,PIW,Broken City,92.188,28.388,18.5,27.55,17.75
2016,1,PIW,Dark Sky Percussion,79.95,22.95,14.9,26.9,15.2
2016,5,PIW,Dark Sky Percussion,84.55,25.05,17.0,25.3,17.2
2016,9,PIW,Dark Sky Percussion,85.751,25.95,16.7,26.6,16.5
2016,10,PIW,Dark Sky Percussion,87.175,26.925,17.25,26.3,16.7
2016,0,PIW,POW Percussion,82.25,25.0,25.65,15.2,16.4
2016,6,PIW,POW Percussion,84.8,26.1,16.7,25.5,16.5
2016,9,PIW,POW Percussion,86.3,26.4,16.9,26.0,17.0
2016,10,PIW,POW Percussion,87.775,26.475,17.6,26.35,17.35
2016,0,PIW,Pulse Percussion,85.45,26.1,25.95,16.1,17.3
2016,6,PIW,Pulse Percussion,90.3,27.3,17.7,27.2,18.1
2016,9,PIW,Pulse Percussion,93.0,28.5,18.1,27.8,18.6
2016,10,PIW,Pulse Percussion,94.0,28.65,18.35,28.2,18.8
2016,0,PIW,RCC,87.3,25.5,27.0,16.8,18.0
2016,9,PIW,RCC,93.65,28.8,18.5,27.45,18.9
2016,10,PIW,RCC,95.138,28.837,19.1,28.25,18.95
