year,week,class,name,overall score,music effect,visual effect,music,visual
2017,1,PSO,Arcadia HS,78.7,24.3,15.1,23.7,15.6
2017,6,PSO,Arcadia HS,91.163,27.263,17.95,27.75,18.2
2017,3,PSO,Azle HS,74.451,23.25,14.8,22.4,14.0
2017,4,PSO,Azle HS,79.851,24.45,14.8,24.4,16.2
2017,1,PSO,Bellbrook HS,75.75,22.65,14.4,22.8,15.9
2017,6,PSO,Bellbrook HS,84.375,25.575,16.8,25.2,16.8
2017,3,PSO,Bellevue West HS,79.9,23.1,15.4,25.3,16.1
2017,4,PSO,Ben Davis HS,76.051,22.35,15.8,23.1,14.8
2017,4,PSO,Bob Jones HS,82.7,24.9,16.2,25.2,16.4
2017,3,PSO,Buchanan HS,73.025,21.975,13.2,23.05,14.8
2017,2,PSO,Buena HS,75.4,24.45,15.1,20.7,15.15
2017,3,PSO,Buena HS,81.15,24.45,16.3,23.0,17.4
2017,5,PSO,Buena HS,81.5,23.85,16.8,24.15,16.7
2017,3,PSO,Burleson Centennial HS,83.05,25.65,16.8,25.1,15.5
2017,10,PSO,Burleson Centennial HS,97.1,29.625,19.7,28.7,19.075
2017,3,PSO,Burleson HS,73.501,23.1,14.6,22.3,13.5
2017,2,PSO,Cab Calloway,72.05,24.2,19.95,13.4,14.5
2017,4,PSO,Cab Calloway,80.1,24.2,23.85,15.6,16.45
2017,5,PSO,Cab Calloway,80.25,23.1,24.45,15.8,16.9
2017,7,PSO,Cab Calloway,77.15,24.6,22.95,14.8,14.8
2017,8,PSO,Cab Calloway,79.05,24.1,23.55,15.9,15.5
2017,4,PSO,Carmel HS,81.25,24.75,16.5,24.9,15.1
2017,3,PSO,Carroll HS,81.65,24.45,16.2,25.0,16.0
2017,4,PSO,Carroll HS,87.7,26.4,16.8,26.8,17.7
2017,4,PSO,Casa Grande HS,84.8,25.5,16.9,25.6,16.8
2017,3,PSO,Central HS,78.7,21.6,17.0,23.7,16.4
2017,6,PSO,Central HS,79.15,24.0,15.55,24.05,15.55
2017,4,PSO,Cesar Chavez HS,71.65,22.65,13.0,21.4,14.6
2017,6,PSO,Chantilly HS,85.738,26.288,17.45,24.65,17.35
2017,3,PSO,Chattahoochee HS,66.1,20.4,12.9,19.5,13.3
2017,4,PSO,Chattahoochee HS,70.9,20.7,15.2,21.7,13.3
2017,3,PSO,Chisholm Trail HS,70.451,22.95,14.0,21.2,12.3
2017,5,PSO,Choctawhatchee HS,83.475,24.675,17.35,24.7,16.75
2017,4,PSO,Clear Brook HS,90.25,27.15,18.1,26.7,18.3
2017,10,PSO,Clear Brook HS,96.275,29.1,19.25,28.875,19.05
2017,5,PSO,Clinton HS,83.775,25.2,16.875,25.4,16.3
2017,5,PSO,Clover HS,84.25,25.05,16.8,26.2,16.2
