year,week,class,name,overall score,music effect,visual effect,music,visual
2024,2,PSW,Arcadia HS,81.55,24.45,16.5,24.4,16.2
2024,4,PSW,Arcadia HS,81.3,25.5,17.0,23.4,15.4
2024,6,PSW,Arcadia HS,85.5,25.5,17.6,25.0,17.4
2024,9,PSW,Arcadia HS,89.625,26.475,17.95,27.45,17.75
2024,6,PSW,Avon HS,86.95,25.95,18.0,26.0,17.0
2024,13,PSW,Avon HS,96.113,28.612,19.525,28.775,19.2
2024,4,PSW,Ayala HS,86.3,26.7,17.8,25.5,16.3
2024,6,PSW,Ayala HS,88.95,27.15,18.5,25.5,17.8
2024,7,PSW,Ayala HS,88.45,26.55,18.1,25.5,18.3
2024,9,PSW,Ayala HS,92.9,27.9,18.9,27.2,18.9
2024,11,PSW,Ayala HS,92.1,27.0,19.1,27.3,18.7
2024,12,PSW,Ayala HS,94.175,28.35,19.2,27.7,18.925
2024,13,PSW,Ayala HS,97.538,29.212,19.6,29.075,19.65
2024,6,PSW,Boswell HS,82.15,24.15,16.4,25.3,16.3
2024,6,PSW,Broken Arrow HS,80.6,24.6,16.1,23.9,16.0
2024,6,PSW,Burleson Centennial HS,85.45,25.35,16.7,26.5,16.9
2024,6,PSW,Center Grove HS,83.55,25.35,16.4,25.4,16.4
2024,3,PSW,Chino Hills HS,87.7,26.4,17.5,26.3,17.5
2024,5,PSW,Chino Hills HS,90.35,27.15,18.4,26.3,18.5
2024,6,PSW,Chino Hills HS,90.1,27.6,18.6,25.8,18.1
2024,9,PSW,Chino Hills HS,94.7,28.575,18.875,28.35,18.9
2024,11,PSW,Chino Hills HS,94.95,28.35,18.9,28.6,19.1
2024,12,PSW,Chino Hills HS,95.013,28.613,19.0,28.45,18.95
2024,13,PSW,Chino Hills HS,98.638,29.663,19.8,29.5,19.675
2024,8,PSW,Clear Brook HS,90.05,27.15,17.0,27.8,18.1
2024,13,PSW,Clear Brook HS,91.101,27.3,18.2,27.6,18.0
2024,11,PSW,Clovis HS,83.851,25.35,15.9,26.0,16.6
2024,12,PSW,Clovis HS,83.926,24.675,16.8,26.2,16.25
2024,9,PSW,Cupertino HS,80.001,23.7,15.6,24.7,16.0
2024,8,PSW,Cy-Fair HS,86.2,26.4,17.6,24.6,17.6
2024,5,PSW,Dartmouth HS,87.5,26.4,17.8,25.9,17.4
2024,9,PSW,Dartmouth HS,92.95,27.75,18.8,27.8,18.6
2024,6,PSW,Dorman HS,79.75,24.15,15.9,24.5,15.2
2024,4,PSW,Etiwanda HS,79.7,24.9,16.3,23.5,15.0
2024,7,PSW,Etiwanda HS,79.8,23.4,16.6,23.6,16.2
2024,8,PSW,Etiwanda HS,86.55,25.95,17.4,25.9,17.3
2024,9,PSW,Etiwanda HS,88.325,26.55,17.925,26.5,17.35
2024,11,PSW,Etiwanda HS,89.825,26.625,17.6,27.4,18.2
2024,12,PSW,Etiwanda HS,90.625,27.225,18.7,26.75,17.95
2024,5,PSW,Fair Lawn HS,75.65,22.95,15.1,23.0,14.6
2024,9,PSW,Fair Lawn HS,81.35,23.55,16.8,24.5,16.5
2024,6,PSW,Franklin Central HS,77.45,23.25,15.8,23.5,14.9
2024,3,PSW,Gahr HS,81.0,24.0,16.1,24.5,16.4
2024,6,PSW,Gahr HS,83.45,24.75,16.8,25.0,16.9
2024,9,PSW,Gahr HS,86.225,25.725,16.85,26.6,17.05
2024,11,PSW,Gahr HS,87.101,25.5,17.2,26.7,17.7
2024,12,PSW,Gahr HS,87.251,26.55,17.4,26.3,17.0
2024,6,PSW,Homestead HS,81.1,24.0,16.7,23.8,16.6
2024,9,PSW,Homestead HS,85.876,25.725,17.25,25.9,17.0
2024,11,PSW,Homestead HS,87.351,26.25,17.8,25.9,17.4
2024,6,PSW,Pearland HS,78.9,23.7,15.6,24.5,15.1
2024,8,PSW,Pearland HS,85.65,26.25,16.0,25.7,17.7
2024,4,PSW,Rowland HS,76.15,24.15,16.0,21.6,14.4
2024,6,PSW,Rowland HS,79.251,22.65,16.1,24.3,16.2
2024,8,PSW,Rowland HS,82.15,24.75,16.6,24.8,16.0
2024,11,PSW,Rowland HS,83.076,24.675,17.1,25.0,16.3
2024,12,PSW,Rowland HS,84.051,25.05,17.1,25.55,16.35
2024,9,PSW,Saratoga HS,81.451,24.15,16.4,23.8,17.1
2024,13,PSW,Sparkman HS,94.338,28.163,18.875,28.525,18.775
2024,5,PSW,Vista Murrieta HS,85.5,25.5,17.6,24.8,17.6
2024,7,PSW,Vista Murrieta HS,87.1,26.7,18.0,24.2,18.2
2024,8,PSW,Vista Murrieta HS,90.3,27.3,18.2,26.7,18.1
2024,11,PSW,Vista Murrieta HS,92.825,26.925,18.8,28.5,18.6
2024,12,PSW,Vista Murrieta HS,93.313,28.237,18.625,27.85,18.6
2024,5,PSW,Walled Lake Consolidated Schools,80.25,23.55,16.5,23.5,16.7
2024,6,PSW,Walled Lake Consolidated Schools,78.9,23.7,16.1,23.5,15.6
2024,9,PSW,Walled Lake Consolidated Schools,85.65,25.65,16.9,26.0,17.1
2024,12,PSW,Walled Lake Consolidated Schools,88.45,26.55,17.85,26.55,17.5
2024,7,PSW,West Ranch HS,71.0,21.9,14.1,20.6,14.4
2024,8,PSW,West Ranch HS,75.5,22.2,14.6,24.2,14.5
2024,9,PSW,West Ranch HS,75.451,22.05,15.1,23.4,14.9
2024,11,PSW,West Ranch HS,80.8,24.6,15.4,25.3,15.5
