name,class,year,shows,first week,final week,first score,final score,avg overall increase,avg me increase,avg ve increase,avg m increase,avg v increase
Carroll Senior HS,PSW,2023,2,1,4,77.7,78.751,0.526,0.375,0.35,0.05,-0.25
Chino Hills HS,PSW,2023,3,0,8,90.05,97.5,1.7,0.375,0.35,0.8,0.175
Petal HS,PSW,2023,3,2,8,81.25,88.088,1.35,0.3,-0.05,1.25,-0.15
Timber Creek HS,PSW,2023,2,1,4,78.9,79.4,0.25,0.45,0.6,-0.55,-0.25
Basha HS,PSO,2023,2,0,2,74.75,81.4,3.325,0.525,0.55,1.75,0.5
Bridgeland HS,PSO,2023,2,1,4,84.55,88.35,1.9,0.75,0.4,0.65,0.1
Dobyns-Bennett HS,PSO,2023,2,1,3,75.3,78.851,1.776,0.3,0.7,0.025,0.75
Fair Lawn HS,PSO,2023,2,0,3,80.3,86.1,2.9,0.75,0.9,0.15,1.1
Hardin Valley Academy,PSO,2023,2,1,2,77.45,82.95,2.75,0.45,0.7,0.7,0.9
John Marshall HS,PSO,2023,2,1,4,74.651,78.701,2.025,0.825,0.15,0.55,0.5
Kettering Fairmont HS,PSO,2023,3,1,8,80.05,93.051,4.1,1.35,1.15,0.6,1.0
Mauldin HS,PSO,2023,2,1,3,74.751,75.551,0.4,0.6,0.8,-0.7,-0.3
Norwalk HS Combined Schools,PSO,2023,2,0,3,76.6,83.2,3.3,0.9,1.75,0.45,0.2
OConnor HS,PSO,2023,2,1,4,81.15,85.9,2.375,1.275,0.55,0.85,-0.3
Trumbull HS,PSO,2023,3,0,8,76.9,84.175,2.375,0.825,0.6,0.45,0.5
Victor J. Andrew HS,PSO,2023,3,1,8,84.25,94.201,1.888,1.088,0.35,0.1,0.35
Carlsbad HS,PSA,2023,2,0,4,74.75,81.0,3.125,-0.075,0.65,1.65,0.9
Everett HS,PSA,2023,3,0,8,77.275,90.45,6.0,1.65,1.75,1.5,1.1
Gilbert HS,PSA,2023,2,2,4,73.55,80.35,3.4,1.35,0.15,0.95,0.95
Hempfield HS,PSA,2023,3,0,8,77.8,93.025,4.7,1.725,0.725,1.9,0.35
Higley HS,PSA,2023,2,2,4,71.301,72.801,0.75,-0.3,-0.5,0.35,1.2
Kaneland HS,PSA,2023,2,0,3,67.401,73.8,3.2,1.35,0.75,0.3,0.8
Nutley HS,PSA,2023,2,0,3,75.751,85.051,4.65,1.05,1.75,0.325,1.525
Perry HS,PSA,2023,2,2,4,69.101,73.751,2.325,1.875,-0.9,1.3,0.05
Pleasant Grove HS,PSA,2023,2,2,4,69.651,78.001,4.175,1.125,1.7,0.5,0.85
Rock Hill HS,PSA,2023,2,1,3,71.9,75.001,1.55,0.15,0.35,0.95,0.1
West Milford HS,PSA,2023,3,0,8,74.801,84.164,1.849,0.45,0.4,0.5,0.5
Westhill HS,PSA,2023,2,0,3,69.95,78.4,4.225,1.875,0.8,0.8,0.75
Williams Field HS,PSA,2023,2,2,4,82.425,85.25,1.413,0.262,0.35,0.35,0.45
Atlanta Quest,PIW,2023,3,0,8,80.3,90.9,1.8,-0.6,0.1,0.6,1.7
Audio Theater,PIW,2023,3,2,8,80.25,84.5,0.075,-0.075,0.15,-0.45,0.45
Cap City Percussion,PIW,2023,3,1,8,80.65,88.825,3.312,1.538,0.75,0.45,0.575
ConneXus,PIW,2023,3,1,8,82.9,91.138,1.425,1.125,0.3,-0.5,0.5
Flux Indoor Percussion,PIW,2023,3,2,8,83.35,84.65,0.663,1.088,0.15,0.275,-0.85
George Mason University,PIW,2023,3,1,8,83.15,92.876,3.8,0.45,1.2,1.2,0.95
Gold Indoor Percussion,PIW,2023,3,0,8,83.9,84.75,0.775,0.675,0.3,0.05,-0.25
Infinity,PIW,2023,3,0,8,84.35,95.576,0.125,-0.075,-0.1,-0.05,0.35
POW Percussion,PIW,2023,3,0,8,85.55,92.338,1.5,0.15,0.4,0.65,0.3
Pulse Percussion,PIW,2023,3,0,8,90.7,98.513,2.112,0.412,0.35,1.05,0.3
Rhythm X,PIW,2023,3,1,8,88.45,97.625,1.95,1.05,0.55,-0.05,0.4
