year,week,class,name,overall score,music effect,visual effect,music,visual
2017,4,PIO,5Points Percussion,84.25,24.45,17.6,25.6,16.6
2017,10,R1,5Points Percussion,90.35,27.075,17.875,27.4,18.0
2017,0,PSA,Abington,61.751,18.3,20.25,12.0,11.2
2017,1,PSA,Abington,64.85,20.5,19.95,12.4,12.0
2017,4,PSA,Abington,71.1,23.0,20.7,13.3,14.1
2017,7,PSA,Abington,76.7,24.2,24.0,14.5,14.0
2017,8,PSA,Abington,79.55,23.8,23.85,15.9,16.0
2017,3,PSA,Abington HS,69.95,21.45,13.2,22.8,12.5
2017,6,PSA,Abington HS,75.8,22.95,14.5,23.55,14.8
2017,5,PSA,Acadiana HS,82.476,24.75,16.85,24.2,16.675
2017,10,R1,Acadiana HS,83.15,25.2,15.95,26.05,15.95
2017,2,PIA,Advendo Percussion Ensemble,72.45,22.35,13.6,22.7,13.8
2017,1,PIA,Aftermath,70.65,20.2,21.75,14.2,14.5
2017,3,PIA,Aftermath,76.2,22.9,24.3,14.0,15.0
2017,5,PIA,Aftermath,83.1,24.6,24.9,16.8,16.8
2017,7,PIA,Aftermath,84.4,25.2,24.9,17.4,16.9
2017,8,PIA,Aftermath,86.8,25.4,25.5,17.7,18.2
2017,6,PIA,Aftermath Percussion,81.3,24.3,16.6,24.0,16.4
2017,10,PIA,Aftermath Percussion,90.701,27.9,17.75,27.05,18.0
2017,5,PSA,Albany Indoor Percussion,70.101,21.0,20.7,13.6,14.8
2017,6,PSA,Albany Indoor Percussion,67.601,19.7,20.4,13.6,13.9
2017,7,PSA,Albany Indoor Percussion,75.001,23.4,21.6,14.6,15.4
2017,3,PIO,Alchemy Percussion presented by Carolina Gold,79.45,24.15,16.3,23.5,15.5
2017,5,PIO,Alchemy Percussion presented by Carolina Gold,84.775,24.375,17.2,26.3,16.9
2017,10,R2,Alchemy Percussion presented by Carolina Gold,89.375,26.475,18.6,27.05,17.25
2017,0,PSA,Aliso Niguel HS,75.05,22.8,14.15,22.6,15.5
2017,2,PSA,Aliso Niguel HS,77.325,24.825,15.2,22.85,14.45
2017,4,PSA,Aliso Niguel HS,75.936,22.575,15.81,22.7,14.85
2017,7,R1,Aliso Niguel HS,84.0,25.8,16.6,25.8,15.8
2017,8,R3,Aliso Niguel HS,87.9,26.7,17.0,26.5,17.7
2017,9,PSA,Aliso Niguel HS,86.775,25.275,17.55,27.0,16.95
2017,5,PJHSA,Alta Sierra JHS Percussion,75.6,20.8,25.2,15.6,14.0
2017,5,PIO,Altitude Percussion,74.3,21.3,15.5,21.8,15.7
2017,10,R4,Altitude Percussion,82.476,25.275,16.5,24.7,16.0
2017,-1,PSJ,Alvarado IS,67.3,19.8,12.6,21.0,13.9
2017,3,PSJ,Alvarado IS,66.4,18.6,13.1,21.4,13.3
2017,5,PSJ,Alvarado IS,82.1,25.5,16.3,23.7,16.6
2017,8,PSJ,Alvarado IS,89.838,28.163,17.475,25.95,18.25
2017,1,PSA,Amador Valley HS,82.5,24.3,15.8,25.9,16.5
2017,6,PSA,Amador Valley HS,87.575,26.325,17.0,27.4,16.85
2017,4,PIO,Ancient City Ensemble,82.75,25.35,16.7,23.9,16.8
2017,10,R1,Ancient City Ensemble,85.676,26.325,16.65,25.75,16.95
2017,4,PSA,Arbor View HS,77.501,23.7,15.7,23.1,15.0
2017,6,PSA,Arbor View HS,71.125,20.925,14.0,21.5,14.7
2017,-1,PSA,Arcadia HS,75.55,22.35,13.7,24.6,14.9
2017,0,PSW,Arcadia HS,81.6,25.2,16.1,24.2,16.1
2017,1,PSO,Arcadia HS,78.7,24.3,15.1,23.7,15.6
