year,month,day,class,name,overall score,music effect,visual effect,music,visual
2023,March,25,SW,Camp Hill HS Guard,82.81,15.14,16.27,16.4,17.8
2023,March,25,SW,Cedar Crest HS Guard,81.88,16.01,15.87,16.0,17.2
2023,March,25,SW,Waynesboro HS Guard,77.72,15.48,15.54,15.5,15.6
2023,March,25,SW,Spring Grove HS Guard,77.15,14.48,14.67,15.4,16.6
2023,March,25,SW,Susquehannock HS Guard,76.281,15.47,14.61,15.8,15.4
2023,March,25,SW,East Pennsboro HS Guard,75.751,14.01,14.34,15.0,16.2
2026,March,21,SN,Mechanicsburg MS Guard,75.15,15.34,14.21,15.7,15.4
2026,March,21,SN,Halifax HS Color Guard,73.08,14.94,13.74,14.9,14.5
2022,April,2,GHSSRAB,Fresno Christian HS Guard,61.53,127.4,129.4,10.75,12.8
2022,April,2,GHSSRAB,Reedley HS Guard,61.36,129.4,140.7,10.95,11.8
2022,April,2,GHSSRAB,Liberty High School Winterguard,59.64,118.7,122.7,11.7,12.0
2022,April,2,GHSSRAB,Edison HS Guard,58.41,121.4,120.7,11.2,11.6
2022,April,2,GHSSRAB,Roosevelt HS Guard,57.956,120.05,121.5,10.4,11.4
2022,April,2,GHSSRAB,Mt Whitney HS Guard,56.611,123.4,124.7,10.6,11.0
2022,April,2,GHSSRAB,Firebaugh High School Winter Guard,53.861,102.8,112.8,11.0,10.8
2022,April,2,GHSSRAB,Firebaugh,53.861,102.8,112.8,11.0,10.8
2017,February,25,PSA,East Syracuse Minoa,79.95,24.5,24.15,15.7,15.6
2017,February,25,PSA,Phoenix Indoor Percussion,69.45,21.5,19.65,13.8,14.5
2017,February,25,PSA,Central Square High School,68.75,21.2,20.25,13.3,14.0
2017,February,25,PSA,Liverpool Indoor Percussion,63.85,20.3,18.75,11.6,13.2
2018,March,17,PSA,Centaurus HS,81.95,24.75,16.7,23.9,16.6
2018,March,17,PSA,Longmont HS,81.85,25.05,17.1,22.4,17.3
2018,March,17,PSA,Monarch HS,81.1,24.9,16.2,22.2,17.8
2018,March,17,PSA,Sand Creek HS,66.3,21.3,13.2,18.8,13.0
2018,March,17,PIO,Rise Percussion,84.75,24.9,17.0,25.95,16.9
2018,March,17,PIO,Black Diamond Percussion,76.05,21.75,15.8,22.7,15.8
2018,March,17,PIW,Blue Knights,77.0,22.5,15.3,23.6,15.6
2019,March,16,GHSSRAB,Mt Whitney HS Guard,62.05,13.08,11.47,12.1,12.4
2019,March,16,GHSSRAB,Monache HS Junior Varsity Guard,58.28,11.47,11.41,12.0,12.0
2019,March,16,GHSSRAB,Tulare Western HS JV Guard,57.56,12.68,10.48,11.0,11.6
2019,March,16,GHSSRAB,Mendota HS Guard,57.01,11.67,11.14,10.6,11.3
2019,March,16,GHSSRAB,Orosi HS B Guard,54.891,11.14,10.15,11.6,10.0
2024,February,17,PHSSRA,Torres HS Percussion,77.8,23.0,23.7,16.2,14.9
2024,February,17,PHSSRA,Sierra Pacific HS Percussion,71.0,20.4,22.2,14.6,13.8
2024,February,17,PHSSRA,Orosi Indoor Percussion,70.4,21.0,21.6,14.7,13.1
2024,February,17,PHSSRA,Firebaugh HS Percussion,67.4,19.5,21.3,14.1,12.5
2024,February,17,PHSSRA,Madera South HS Percussion,61.651,17.0,19.35,13.3,12.0
2024,February,17,PHSSRA,Exeter Union HS Percussion,61.601,16.7,18.9,12.7,13.3
2024,February,17,PHSSRA,Hanford HS Percussion,60.601,17.8,18.0,12.1,12.7
2024,February,17,PHSSRA,Fresno HS Winter Percussion,58.201,15.3,18.3,12.4,12.2
2024,February,17,PHSSRA,Woodlake HS Percussion,55.701,16.4,16.5,11.5,11.3
2024,February,17,PHSSRA,Tulare Western HS Percussion,54.6,15.8,17.1,11.3,10.4
2023,February,4,PSJ,Canyon Hills JHS,63.6,19.5,11.4,20.4,12.3
2023,February,4,PSA,La Canada HS,76.2,23.7,14.0,24.1,14.4
2023,February,4,PSA,Arcadia HS,74.3,23.1,13.2,23.2,14.8
2023,February,4,PSA,Bonita HS,71.425,21.825,12.6,23.1,13.9
2023,February,4,PSA,South Pasadena HS,69.451,21.45,12.9,22.8,12.3
2023,February,4,PSA,St. Genevieve HS,68.076,21.675,12.2,20.9,13.3
2023,February,4,PSA,Torrance HS,68.401,22.2,11.3,21.8,13.1
2023,February,4,PSA,San Marino HS,65.0,20.7,10.5,21.2,12.6
2023,February,4,PIA,Impulse,71.7,21.9,12.7,22.9,14.2
2023,February,4,PSW,Arcadia HS,80.925,25.125,15.6,24.4,15.8
2023,February,4,PIW,Pulse Percussion,85.625,25.425,16.9,27.0,16.3
2023,February,4,PIW,RCC,83.5,25.5,16.3,25.1,16.6
2023,February,4,PIW,POW Percussion,80.15,24.75,16.0,24.2,15.2
2023,March,26,PIA,Cornell University,69.05,22.5,20.85,13.0,12.7
2019,March,9,PIA-C,EPIC Cadets,83.95,25.0,27.15,16.0,15.8
2024,March,16,GJHSA,Pioneer MS Winterguard,65.18,134.8,140.0,12.3,12.7
