year,week,class,name,overall score,music effect,visual effect,music,visual
2014,0,PSN,Erath H.S.,65.7,28.0,25.2,12.5,0.0
2014,0,PIA,Rocori High School,73.7,29.8,31.5,12.4,0.0
2014,0,PIA,Phoenix Drumline,71.75,28.6,30.45,12.7,0.0
2014,0,PSO,Irondale High School,78.75,29.4,34.55,14.8,0.0
2014,0,PSO,Vandebilt Catholic H.S.,75.45,30.2,31.55,13.7,0.0
2014,0,PSO,E.D. White Catholic H.S.,73.7,28.8,31.6,13.3,0.0
2014,0,PSJ,St. Genevieve ES,74.75,29.8,30.45,14.5,-2.3
2014,0,PSJ,Canyon Hills JHS,73.4,29.6,29.2,14.6,-1.65
2014,0,PSJ,Townsend JHS,74.9,30.2,30.4,14.3,-4.1
2014,0,PSJ,Nobel MS,70.55,28.2,28.25,14.1,-4.5
2014,0,PSJ,Alvarado IS,68.85,27.8,27.65,13.4,-6.8
2014,0,PSA,La Quinta HS (OC),78.65,32.6,30.95,15.1,-2.3
2014,0,PSA,Thousand Oaks HS,76.95,30.0,32.15,14.8,-5.6
2014,0,PSA,Arcadia HS,76.25,31.6,30.85,13.8,-5.25
2014,0,PSA,West Covina HS,70.501,26.8,30.6,13.1,-0.6
2014,0,PSA,South Hills HS,75.15,30.2,30.75,14.2,-5.7
2014,0,PSA,West HS (Torrance),72.326,28.2,29.675,14.45,-4.9
2014,0,PSA,San Marino HS,72.6,29.0,30.3,13.3,-6.75
2014,0,PSA,Camarillo HS,69.6,27.6,27.4,14.6,-4.0
2014,0,PSA,Temescal Canyon HS,69.5,27.0,28.3,14.2,-4.55
2014,0,PSA,Temple City HS,70.801,27.4,29.9,13.5,-7.3
2014,0,PSA,Temecula Valley HS,70.951,27.8,29.35,13.8,-7.6
2014,0,PSA,Laguna Hills HS,69.0,27.4,28.7,12.9,-6.95
2014,0,PSA,Heritage HS,66.05,26.0,27.75,12.3,-7.55
2014,0,PSO,Arcadia HS,75.05,30.6,29.85,14.6,-2.95
2014,0,PSW,Chino Hills HS,83.7,33.8,33.1,16.8,-0.55
2014,0,PIW,Pulse Percussion,84.5,33.8,33.9,16.8,0.0
2014,0,PIW,RCC,84.05,34.4,33.25,16.4,-1.2
2014,0,PIW,POW Percussion,78.4,31.0,32.3,15.1,0.0
2014,0,PSA,Gulfport H.S.,65.6,26.8,25.9,12.9,0.0
