name,class,year,week,weeks_since,show_count,current_overall_average,current_me_average,current_ve_average,current_m_average,current_v_average,last_show_overall_score,last_show_me_score,last_show_ve_score,last_show_m_score,last_show_v_score,overall score,me score,ve score,m score,v score,last_overall_jump,last_me_jump,last_ve_jump,last_m_jump,last_v_jump,last_2_overall_average,last_2_me_average,last_2_ve_average,last_2_m_average,last_2_v_average
Arcadia HS,PSW,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.2,31.6,33.5,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arcadia HS,PSW,2014,4,3,1,81.2,31.6,33.5,16.1,0.0,81.2,31.6,33.5,16.1,0.0,86.125,36.1,34.825,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arcadia HS,PSW,2014,6,2,2,83.662,33.85,34.162,15.65,0.0,86.125,36.1,34.825,15.2,0.0,88.7,36.0,35.1,17.6,0.0,4.925,4.5,1.325,-0.9,0.0,83.662,33.85,34.162,15.65,0.0
Ayala HS,PSW,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.2,32.0,32.3,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayala HS,PSW,2014,2,1,1,80.2,32.0,32.3,15.9,0.0,80.2,32.0,32.3,15.9,0.0,83.2,33.4,33.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayala HS,PSW,2014,5,3,2,81.7,32.7,32.65,16.35,0.0,83.2,33.4,33.0,16.8,0.0,85.1,34.6,33.9,16.6,0.0,3.0,1.4,0.7,0.9,0.0,81.7,32.7,32.65,16.35,0.0
Ayala HS,PSW,2014,6,1,3,82.833,33.333,33.067,16.433,0.0,85.1,34.6,33.9,16.6,0.0,89.5,36.8,34.7,18.0,0.0,1.9,1.2,0.9,-0.2,0.0,84.15,34.0,33.45,16.7,0.0
Ayala HS,PSW,2014,8,2,4,84.5,34.2,33.475,16.825,0.0,89.5,36.8,34.7,18.0,0.0,91.75,37.2,35.85,18.7,0.0,4.4,2.2,0.8,1.4,0.0,87.3,35.7,34.3,17.3,0.0
Chino Hills HS,PSW,2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.7,33.8,33.1,16.8,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chino Hills HS,PSW,2014,6,6,1,83.7,33.8,33.1,16.8,-0.55,83.7,33.8,33.1,16.8,-0.55,91.35,37.4,36.15,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chino Hills HS,PSW,2014,8,2,2,87.525,35.6,34.625,17.3,-0.275,91.35,37.4,36.15,17.8,0.0,94.85,38.6,37.75,18.5,0.0,7.65,3.6,3.05,1.0,0.55,87.525,35.6,34.625,17.3,-0.275
Diamond Bar HS,PSW,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6,30.6,29.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diamond Bar HS,PSW,2014,4,3,1,75.6,30.6,29.5,15.5,0.0,75.6,30.6,29.5,15.5,0.0,84.5,34.5,34.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diamond Bar HS,PSW,2014,6,2,2,80.05,32.55,31.75,15.75,0.0,84.5,34.5,34.0,16.0,0.0,85.5,34.8,33.9,16.8,0.0,8.9,3.9,4.5,0.5,0.0,80.05,32.55,31.75,15.75,0.0
